4737.0000	4883.8000	-146.8000
5117.0000	4630.0000	487.0000
5091.0000	4546.6000	544.4000
3468.0000	4364.2000	-896.2000
4320.0000	4075.4000	244.6000
3825.0000	3796.0000	29.0000
3673.0000	3844.0000	-171.0000
3694.0000	3646.6000	47.4000
3708.0000	3555.0000	153.0000
3333.0000	3543.2000	-210.2000
3367.0000	3476.8000	-109.8000
3614.0000	3466.2000	147.8000
3362.0000	3592.2000	-230.2000
3655.0000	3799.8000	-144.8000
3963.0000	3996.0000	-33.0000
4405.0000	4332.6000	72.4000
4595.0000	4741.6000	-146.6000
5045.0000	5092.2000	-47.2000
5700.0000	5238.8000	461.2000
5716.0000	5321.8000	394.2000
5138.0000	5383.4000	-245.4000
5010.0000	5458.2000	-448.2000
5353.0000	5321.2000	31.8000
6074.0000	5423.2000	650.8000
5031.0000	5522.4000	-491.4000
5648.0000	5297.8000	350.2000
5506.0000	5048.4000	457.6000
4230.0000	4819.2000	-589.2000
4827.0000	4466.6000	360.4000
3885.0000	4142.4000	-257.4000
